ID,Smiles_Detected,Last_Location,Location_History,Timestamp
149,1,"((158, 254), (247, 343))","[((158, 254), (247, 343))]",2018-11-17 13:47:14
150,1,"((163, 255), (252, 344))","[((163, 255), (252, 344))]",2018-11-17 13:47:16
151,0,"((518, 226), (552, 260))","[((518, 226), (552, 260))]",2018-11-17 13:47:45
152,0,"((378, 338), (429, 389))","[((378, 338), (429, 389))]",2018-11-17 13:47:45
153,2,"((181, 268), (252, 339))","[((179, 267), (254, 342)), ((181, 268), (252, 339))]",2018-11-17 13:47:55
154,1,"((183, 266), (255, 338))","[((183, 266), (255, 338))]",2018-11-17 13:47:57
155,1,"((210, 269), (272, 331))","[((210, 269), (272, 331))]",2018-11-17 13:48:00
156,1,"((158, 261), (237, 340))","[((158, 261), (237, 340))]",2018-11-17 13:48:43
157,2,"((158, 251), (254, 347))","[((160, 252), (252, 344)), ((158, 251), (254, 347))]",2018-11-17 13:48:53
158,1,"((208, 266), (277, 335))","[((208, 266), (277, 335))]",2018-11-17 13:49:59
159,0,"((160, 275), (213, 328))","[((160, 275), (213, 328))]",2018-11-17 13:51:13
160,1,"((320, 250), (353, 283))","[((320, 250), (353, 283))]",2018-11-17 13:51:31
161,1,"((387, 252), (421, 286))","[((387, 252), (421, 286))]",2018-11-17 13:51:32
162,1,"((427, 254), (464, 291))","[((427, 254), (464, 291))]",2018-11-17 13:51:33
163,1,"((313, 239), (359, 285))","[((313, 239), (359, 285))]",2018-11-17 13:51:34
164,1,"((463, 249), (505, 291))","[((463, 249), (505, 291))]",2018-11-17 13:51:34
165,1,"((582, 256), (634, 308))","[((582, 256), (634, 308))]",2018-11-17 13:51:35
166,0,"((516, 374), (578, 436))","[((516, 374), (577, 435)), ((516, 374), (578, 436))]",2018-11-17 13:52:09
167,0,"((516, 375), (574, 433))","[((516, 375), (574, 433))]",2018-11-17 13:52:12
168,0,"((516, 373), (578, 435))","[((516, 373), (578, 435))]",2018-11-17 13:52:14
169,0,"((444, 257), (475, 288))","[((444, 257), (475, 288))]",2018-11-17 13:52:16
170,0,"((542, 242), (576, 276))","[((542, 242), (576, 276))]",2018-11-17 13:52:16
171,0,"((495, 251), (530, 286))","[((495, 251), (530, 286))]",2018-11-17 13:52:16
172,0,"((580, 243), (618, 281))","[((580, 243), (618, 281))]",2018-11-17 13:52:18
173,0,"((533, 258), (567, 292))","[((533, 258), (567, 292))]",2018-11-17 13:52:18
174,0,"((411, 322), (454, 365))","[((411, 322), (454, 365))]",2018-11-17 13:53:04
175,0,"((454, 322), (503, 371))","[((454, 322), (503, 371))]",2018-11-17 13:53:05
176,0,"((501, 329), (554, 382))","[((501, 329), (554, 382))]",2018-11-17 13:53:06
177,0,"((554, 339), (612, 397))","[((554, 339), (612, 397))]",2018-11-17 13:53:07
178,0,"((537, 386), (595, 444))","[((537, 386), (595, 444))]",2018-11-17 13:53:10
179,0,"((525, 380), (603, 458))","[((525, 380), (603, 458))]",2018-11-17 13:53:15
180,1,"((533, 254), (585, 306))","[((533, 254), (585, 306))]",2018-11-17 13:53:52
181,0,"((118, 184), (205, 271))","[((138, 182), (219, 263)), ((118, 184), (205, 271))]",2018-11-17 13:54:01
182,0,"((59, 164), (178, 283))","[((59, 164), (178, 283))]",2018-11-17 13:54:15
183,0,"((27, 204), (90, 267))","[((35, 201), (93, 259)), ((27, 204), (90, 267))]",2018-11-17 13:54:31
184,0,"((8, 188), (92, 272))","[((8, 188), (92, 272))]",2018-11-17 13:54:33
185,0,"((128, 173), (217, 262))","[((128, 173), (217, 262))]",2018-11-17 13:54:34
186,0,"((160, 271), (225, 336))","[((160, 271), (225, 336))]",2018-11-17 13:55:22
187,0,"((217, 269), (283, 335))","[((217, 269), (283, 335))]",2018-11-17 13:55:31
188,0,"((50, 234), (157, 341))","[((50, 234), (157, 341))]",2018-11-17 13:55:45
189,0,"((265, 258), (312, 305))","[((274, 260), (313, 299)), ((265, 258), (312, 305))]",2018-11-17 13:55:48
190,0,"((200, 270), (257, 327))","[((237, 262), (286, 311)), ((223, 260), (272, 309)), ((228, 266), (279, 317)), ((200, 270), (257, 327))]",2018-11-17 13:55:50
191,0,"((39, 281), (108, 350))","[((39, 281), (108, 350))]",2018-11-17 13:55:54
192,0,"((40, 189), (125, 274))","[((40, 189), (125, 274))]",2018-11-17 13:57:18
193,0,"((157, 196), (246, 285))","[((157, 196), (246, 285))]",2018-11-17 13:57:19
194,0,"((565, 216), (618, 269))","[((565, 216), (618, 269))]",2018-11-17 13:58:32
195,0,"((66, 209), (117, 260))","[((66, 209), (117, 260))]",2018-11-17 13:59:14
196,0,"((76, 204), (128, 256))","[((76, 204), (128, 256))]",2018-11-17 13:59:16
197,0,"((232, 202), (288, 258))","[((232, 202), (288, 258))]",2018-11-17 13:59:17
198,0,"((152, 265), (225, 338))","[((152, 265), (225, 338))]",2018-11-17 14:00:53
199,0,"((213, 272), (269, 328))","[((213, 272), (269, 328))]",2018-11-17 14:01:17
200,1,"((164, 269), (233, 338))","[((164, 269), (233, 338))]",2018-11-17 14:02:23
201,1,"((159, 268), (231, 340))","[((159, 268), (231, 340))]",2018-11-17 14:02:25
202,1,"((159, 257), (246, 344))","[((159, 257), (246, 344))]",2018-11-17 14:04:43
203,1,"((577, 247), (627, 297))","[((577, 247), (627, 297))]",2018-11-17 14:08:44
204,0,"((369, 312), (455, 398))","[((369, 312), (455, 398))]",2018-11-17 14:09:23
205,0,"((180, 264), (253, 337))","[((181, 266), (250, 335)), ((180, 264), (253, 337))]",2018-11-17 14:10:31
206,0,"((179, 265), (248, 334))","[((179, 265), (248, 334))]",2018-11-17 14:10:33
207,1,"((176, 268), (245, 337))","[((176, 268), (245, 337))]",2018-11-17 14:10:34
208,0,"((552, 274), (599, 321))","[((552, 274), (599, 321))]",2018-11-17 14:11:00
209,1,"((157, 262), (236, 341))","[((157, 262), (236, 341))]",2018-11-17 14:11:51
210,0,"((276, 212), (329, 265))","[((259, 222), (305, 268)), ((276, 212), (329, 265))]",2018-11-17 14:13:14
211,0,"((329, 204), (388, 263))","[((329, 204), (388, 263))]",2018-11-17 14:13:16
212,0,"((389, 208), (466, 285))","[((389, 208), (466, 285))]",2018-11-17 14:13:17
