ID,Smiles_Detected,Last_Location,Location_History,Timestamp
97,0,"((222, 163), (367, 308))","[((222, 163), (367, 308))]",2018-11-19 10:32:57
98,0,"((470, 246), (549, 325))","[((470, 246), (549, 325))]",2018-11-19 10:33:08
99,0,"((296, 391), (375, 470))","[((296, 391), (375, 470))]",2018-11-19 10:33:36
100,0,"((576, 245), (627, 296))","[((576, 245), (627, 296))]",2018-11-19 10:36:17
101,0,"((451, 233), (504, 286))","[((451, 233), (504, 286))]",2018-11-19 10:36:18
102,0,"((428, 261), (507, 340))","[((428, 261), (507, 340))]",2018-11-19 10:36:40
103,1,"((380, 256), (466, 342))","[((380, 256), (466, 342))]",2018-11-19 10:39:05
104,0,"((232, 193), (294, 255))","[((232, 193), (294, 255))]",2018-11-19 10:40:24
105,0,"((320, 215), (371, 266))","[((320, 215), (371, 266))]",2018-11-19 10:41:29
106,0,"((421, 209), (504, 292))","[((420, 210), (482, 272)), ((413, 210), (488, 285)), ((408, 211), (489, 292)), ((421, 209), (504, 292))]",2018-11-19 10:41:31
107,0,"((201, 157), (382, 338))","[((194, 155), (375, 336)), ((201, 157), (382, 338))]",2018-11-19 10:41:31
108,0,"((198, 154), (383, 339))","[((142, 189), (271, 318)), ((197, 155), (383, 341)), ((192, 154), (382, 344)), ((196, 152), (392, 348)), ((198, 154), (383, 339))]",2018-11-19 10:41:36
109,0,"((226, 384), (299, 457))","[((226, 384), (299, 457))]",2018-11-19 10:41:41
110,0,"((207, 153), (381, 327))","[((207, 153), (381, 327))]",2018-11-19 10:42:38
111,0,"((168, 180), (272, 284))","[((168, 180), (272, 284))]",2018-11-19 10:43:09
112,1,"((213, 416), (266, 469))","[((213, 416), (266, 469))]",2018-11-19 10:44:00
113,0,"((471, 246), (524, 299))","[((471, 246), (524, 299))]",2018-11-19 10:44:16
114,0,"((85, 162), (174, 251))","[((85, 162), (174, 251))]",2018-11-19 10:45:40
115,0,"((132, 204), (181, 253))","[((132, 204), (181, 253))]",2018-11-19 10:45:50
116,0,"((80, 201), (129, 250))","[((80, 201), (129, 250))]",2018-11-19 10:45:51
117,0,"((9, 196), (62, 249))","[((9, 196), (62, 249))]",2018-11-19 10:45:52
118,0,"((223, 151), (302, 230))","[((223, 151), (302, 230))]",2018-11-19 10:46:05
119,0,"((317, 222), (435, 340))","[((317, 222), (435, 340))]",2018-11-19 10:46:32
120,0,"((109, 230), (223, 344))","[((109, 230), (223, 344))]",2018-11-19 10:46:33
121,0,"((236, 192), (297, 253))","[((236, 192), (297, 253))]",2018-11-19 10:48:10
122,0,"((582, 250), (634, 302))","[((582, 250), (634, 302))]",2018-11-19 10:49:20
123,0,"((212, 158), (363, 309))","[((212, 158), (363, 309))]",2018-11-19 10:49:32
124,2,"((203, 120), (417, 334))","[((40, 150), (211, 321)), ((72, 141), (270, 339)), ((126, 116), (344, 334)), ((170, 101), (392, 323)), ((185, 107), (401, 323)), ((203, 120), (417, 334))]",2018-11-19 10:50:12
125,0,"((468, 235), (515, 282))","[((494, 242), (547, 295)), ((486, 238), (536, 288)), ((468, 235), (515, 282))]",2018-11-19 10:50:37
126,0,"((435, 238), (485, 288))","[((435, 238), (485, 288))]",2018-11-19 10:50:40
127,0,"((519, 259), (586, 326))","[((519, 259), (586, 326))]",2018-11-19 10:50:40
128,0,"((402, 220), (459, 277))","[((402, 220), (459, 277))]",2018-11-19 10:51:09
129,0,"((485, 223), (528, 266))","[((485, 223), (528, 266))]",2018-11-19 10:53:28
130,0,"((10, 247), (79, 316))","[((10, 247), (79, 316))]",2018-11-19 10:53:45
131,0,"((538, 278), (599, 339))","[((538, 278), (599, 339))]",2018-11-19 10:53:47
132,0,"((512, 269), (607, 364))","[((512, 269), (607, 364))]",2018-11-19 10:54:20
133,0,"((196, 107), (347, 258))","[((196, 107), (347, 258))]",2018-11-19 10:54:40
134,0,"((197, 109), (348, 260))","[((197, 109), (348, 260))]",2018-11-19 10:54:43
135,0,"((227, 226), (261, 260))","[((227, 226), (261, 260))]",2018-11-19 10:55:39
136,0,"((159, 184), (243, 268))","[((159, 184), (243, 268))]",2018-11-19 10:56:08
137,0,"((388, 192), (464, 268))","[((388, 192), (464, 268))]",2018-11-19 10:56:46
138,0,"((141, 194), (210, 263))","[((141, 194), (210, 263))]",2018-11-19 10:56:47
139,0,"((37, 270), (88, 321))","[((37, 270), (88, 321))]",2018-11-19 11:00:59
140,0,"((31, 214), (88, 271))","[((31, 214), (88, 271))]",2018-11-19 11:05:01
141,0,"((302, 229), (336, 263))","[((302, 229), (336, 263))]",2018-11-19 11:06:41
142,0,"((363, 226), (400, 263))","[((363, 226), (400, 263))]",2018-11-19 11:06:42
143,0,"((208, 158), (378, 328))","[((208, 158), (378, 328))]",2018-11-19 11:08:37
